Id,Sales
1,5012.0
857,5110.0
1713,5248.0
2569,5702.0
4281,4942.0
5137,4082.0
5993,3770.0
6849,3868.0
7705,4006.0
8561,4460.0
10273,4942.0
11129,5384.0
11985,5072.0
12841,5170.0
13697,5308.0
14553,5762.0
16265,5002.0
17121,4142.0
17977,3830.0
18833,3928.0
19689,4066.0
20545,4520.0
22257,5002.0
23113,5384.0
23969,5072.0
24825,5170.0
25681,5308.0
26537,5762.0
28249,5002.0
29105,4142.0
29961,3830.0
30817,3928.0
31673,4066.0
32529,4520.0
34241,5002.0
35097,5384.0
35953,5072.0
36809,5170.0
37665,5308.0
38521,5762.0
40233,5002.0
2,8284.0
858,8508.0
1714,9010.0
2570,9630.0
4282,4472.0
5138,5540.0
5994,5222.0
6850,5446.0
7706,5948.0
8562,6568.0
10274,4472.0
11130,8602.0
11986,8284.0
12842,8508.0
13698,9010.0
14554,9630.0
16266,4472.0
17122,5540.0
17978,5222.0
18834,5446.0
19690,5948.0
20546,6568.0
22258,4472.0
23114,8602.0
23970,8284.0
24826,8508.0
25682,9010.0
26538,9630.0
28250,4472.0
29106,5540.0
29962,5222.0
30818,5446.0
31674,6132.0
32530,6752.0
34242,4472.0
35098,8786.0
35954,8468.0
36810,8692.0
37666,9194.0
38522,9814.0
40234,4472.0
3,9424.0
859,9376.0
1715,10688.0
2571,11632.0
4283,6200.0
5139,7640.0
5995,6832.0
6851,6784.0
7707,8096.0
8563,9040.0
10275,6200.0
11131,10232.0
11987,9424.0
12843,9376.0
13699,10688.0
14555,11632.0
16267,6200.0
17123,8936.0
17979,8128.0
18835,8080.0
19691,9392.0
20547,10336.0
22259,6200.0
23115,11528.0
23971,10720.0
24827,10672.0
25683,11984.0
26539,12928.0
28251,6200.0
29107,8936.0
29963,8128.0
30819,8080.0
31675,9392.0
32531,10336.0
34243,6200.0
35099,11528.0
35955,10720.0
36811,10672.0
37667,11984.0
38523,12928.0
40235,6200.0
4,7432.0
860,6680.0
1716,7216.0
2572,8056.0
4284,2968.0
5140,4032.0
5996,5200.0
6852,4448.0
7708,4984.0
8564,5824.0
10276,2968.0
11132,6264.0
11988,7432.0
12844,6680.0
13700,7216.0
14556,8056.0
16268,2968.0
17124,3880.0
17980,5048.0
18836,4296.0
19692,4832.0
20548,5672.0
22260,2968.0
23116,6112.0
23972,7280.0
24828,6528.0
25684,7064.0
26540,7904.0
28252,2968.0
29108,3880.0
29964,5048.0
30820,4296.0
31676,4832.0
32532,5672.0
34244,2968.0
35100,6112.0
35956,7280.0
36812,6528.0
37668,7064.0
38524,7904.0
40236,2968.0
5,6956.0
861,7000.0
1717,7416.0
2573,8772.0
4285,6060.0
5141,5448.0
5997,4972.0
6853,5016.0
7709,5432.0
8565,6788.0
10277,6060.0
11133,7432.0
11989,6956.0
12845,7000.0
13701,7416.0
14557,8772.0
16269,6060.0
17125,5448.0
17981,4972.0
18837,5016.0
19693,5432.0
20549,6788.0
22261,6060.0
23117,7432.0
23973,6956.0
24829,7000.0
25685,7416.0
26541,8772.0
28253,6060.0
29109,5448.0
29965,4972.0
30821,5016.0
31677,5680.0
32533,7036.0
34245,6060.0
35101,7680.0
35957,7204.0
36813,7248.0
37669,7664.0
38525,9020.0
40237,6060.0
6,5932.0
862,5924.0
1718,6384.0
2574,7148.0
4286,4884.0
5142,4968.0
5998,4652.0
6854,4644.0
7710,5104.0
8566,5868.0
10278,4884.0
11134,6248.0
11990,5932.0
12846,5820.0
13702,6280.0
14558,7044.0
16270,4780.0
17126,4864.0
17982,4548.0
18838,4540.0
19694,5000.0
20550,5764.0
22262,4780.0
23118,6144.0
23974,5828.0
24830,5820.0
25686,6280.0
26542,7044.0
28254,4780.0
29110,4864.0
29966,4548.0
30822,4540.0
31678,5000.0
32534,5764.0
34246,4780.0
35102,6144.0
35958,5828.0
36814,5820.0
37670,6280.0
38526,7044.0
40238,4780.0
7,8528.0
863,9120.0
1719,9152.0
2575,9920.0
4287,6512.0
5143,6864.0
5999,6560.0
6855,7152.0
7711,7184.0
8567,7952.0
10279,6512.0
11135,8832.0
11991,8528.0
12847,9120.0
13703,9152.0
14559,9920.0
16271,6512.0
17127,7312.0
17983,7008.0
18839,7600.0
19695,7632.0
20551,8400.0
22263,6512.0
23119,9280.0
23975,8976.0
24831,9568.0
25687,9600.0
26543,10368.0
28255,6512.0
29111,7312.0
29967,7008.0
30823,7600.0
31679,7632.0
32535,8400.0
34247,6512.0
35103,9280.0
35959,8976.0
36815,9568.0
37671,9600.0
38527,10368.0
40239,6512.0
8,8696.0
864,8944.0
1720,9256.0
2576,10520.0
4288,6392.0
5144,5644.0
6000,5532.0
6856,5780.0
7712,6092.0
8568,7356.0
10280,6392.0
11136,8808.0
11992,8696.0
12848,8944.0
13704,9256.0
14560,10520.0
16272,6392.0
17128,5812.0
17984,5700.0
18840,5948.0
19696,6260.0
20552,7524.0
22264,6392.0
23120,8976.0
23976,8864.0
24832,9112.0
25688,9424.0
26544,10688.0
28256,6392.0
29112,5812.0
29968,5700.0
30824,5948.0
31680,6260.0
32536,7524.0
34248,6392.0
35104,8976.0
35960,8864.0
36816,9112.0
37672,9424.0
38528,10688.0
40240,6392.0
9,5872.0
865,6180.0
1721,6220.0
2577,7464.0
4289,4584.0
5145,4064.0
6001,3448.0
6857,3756.0
7713,3796.0
8569,4640.0
10281,4584.0
11137,6888.0
11993,6272.0
12849,6580.0
13705,6620.0
14561,7464.0
16273,4584.0
17129,4064.0
17985,3448.0
18841,3756.0
19697,3796.0
20553,4640.0
22265,4584.0
23121,6888.0
23977,6272.0
24833,6580.0
25689,6620.0
26545,7464.0
29113,4064.0
29969,3448.0
30825,3756.0
31681,3796.0
32537,4640.0
35105,6888.0
35961,6272.0
36817,6580.0
37673,6620.0
38529,7464.0
40241,4584.0
10,6340.0
866,6280.0
1722,6744.0
2578,7596.0
4290,3520.0
5146,4920.0
6002,4660.0
6858,4600.0
7714,5064.0
8570,5916.0
10282,3520.0
11138,6600.0
11994,6340.0
12850,6280.0
13706,6744.0
14562,7596.0
16274,3520.0
17130,4920.0
17986,4660.0
18842,4600.0
19698,5064.0
20554,5916.0
22266,3520.0
23122,6600.0
23978,6340.0
24834,6280.0
25690,6744.0
26546,7596.0
28258,3520.0
29114,4920.0
29970,4660.0
30826,4600.0
31682,4956.0
32538,5808.0
34250,3520.0
35106,6496.0
35962,6232.0
36818,6176.0
37674,6636.0
38530,7492.0
40242,3520.0
11,7480.0
867,7312.0
1723,7660.0
2579,8652.0
4291,5768.0
5147,5852.0
6003,5228.0
6859,5060.0
7715,5408.0
8571,6400.0
10283,5768.0
11139,8104.0
11995,7480.0
12851,7312.0
13707,7660.0
14563,8652.0
16275,5768.0
17131,6068.0
17987,5444.0
18843,5276.0
19699,5624.0
20555,6616.0
22267,5768.0
23123,8320.0
23979,7696.0
24835,7528.0
25691,7876.0
26547,8868.0
28259,5768.0
29115,6068.0
29971,5444.0
30827,5276.0
31683,5624.0
32539,6616.0
34251,5768.0
35107,8320.0
35963,7696.0
36819,7528.0
37675,7876.0
38531,8868.0
40243,5768.0
12,8640.0
