Id,Sales
1,4056.9287
2,7232.52
3,9062.298
4,7380.776
5,6989.693
6,5654.422
7,7275.015
8,7837.9287
9,5211.9927
10,5657.891
11,6661.067
12,7988.506
13,6984.1143
14,8785.15
15,5764.793
16,4784.652
17,5454.6714
18,9719.911
19,10063.4
20,9684.82
21,7645.5923
22,4320.4834
23,5630.3325
24,4036.5933
25,7719.998
26,10560.319
27,9213.122
28,5658.7227
29,4944.2314
30,4160.0107
31,5775.3335
32,10097.867
33,6334.83
34,5202.858
35,5559.4736
36,7671.9917
37,3594.0764
38,7292.9536
39,4272.6826
40,6782.0474
41,6388.7437
42,5338.797
43,7777.105
44,6796.935
45,4990.5806
46,6592.8643
47,7258.402
48,11867.726
49,5827.9644
50,8229.614
51,6448.177
52,8747.734
53,6392.3706
54,9191.609
55,4689.8926
56,4895.4824
57,5975.529
58,5658.5166
59,8821.372
60,7736.6714
61,5472.244
62,7451.007
63,6566.6313
64,9852.833
65,3774.0374
66,12319.07
67,4779.826
68,5891.0195
69,8142.938
70,4690.3354
71,5853.413
72,5968.0557
73,7292.3276
74,5454.927
75,5586.286
76,7508.586
77,7577.531
78,6937.746
79,5073.6025
80,7046.3765
81,11309.0205
82,6338.6685
83,4308.4004
84,6604.811
85,5866.3306
86,5585.8916
87,7298.2344
88,3875.356
89,7866.7793
90,5978.1626
91,7101.5474
92,6725.0264
93,4176.639
94,5383.9424
95,5244.8677
96,8115.26
97,8622.849
98,4926.451
99,4681.4673
100,7027.067
101,5756.277
102,6238.9883
103,7022.3965
104,6778.588
105,7470.2544
106,5482.076
107,4310.64
108,6670.6416
109,7946.065
110,7900.383
111,8260.662
112,7916.8794
113,5589.9746
114,8735.57
115,5698.4844
116,6918.594
117,8792.938
118,6230.49
119,10047.547
120,7440.3325
121,7420.056
122,5905.8496
123,7223.689
124,7837.795
125,6389.542
126,3844.9846
127,5032.6714
128,7671.86
129,5219.819
130,4342.8076
131,8304.576
132,6255.9775
133,5459.1006
134,5783.789
135,5189.7734
136,7326.929
137,7080.23
138,6915.329
139,5613.3286
140,4995.143
141,6287.539
142,3664.9404
143,5986.47
144,5047.729
145,8270.122
146,7230.5684
147,6234.836
148,11680.376
149,5125.7437
150,4974.915
151,10497.477
152,6580.2305
153,8340.003
154,7443.328
155,5328.6265
156,6219.322
157,5408.799
158,8172.7007
159,11098.625
160,5962.2407
161,3049.1736
162,4586.615
163,8566.271
164,8572.001
165,6163.244
166,6725.783
167,4775.793
168,5349.2715
169,3329.0315
170,4995.038
171,6006.696
